Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
7, app/forms/ConsigneeAddressFormProvider.scala, 162, false, 49, 177, 294, 27, 167
6, app/models/domain/SealDomain.scala, 161, false, 67, 99, 457, 16, 99
5, app/pages/PreviousReferencePage.scala, 159, false, 52, 61, 281, 8, 50
1, app/models/messages/trader/TraderAuthorisedConsignee.scala, 157, false, 49, 153, 341, 15, 96
0, app/forms/guaranteeDetails/GuaranteeTypeFormProvider.scala, 156, false, 33, 41, 62, 11, 71
1, app/controllers/actions/DataRequiredAction.scala, 153, false, 42, 104, 122, 18, 118
5, app/models/reference/PreviousDocumentType.scala, 153, false, 56, 48, 459, 7, 46
3, app/models/messages/guarantee/Guarantee.scala, 152, false, 87, 286, 628, 39, 257
5, app/models/journeyDomain/package.scala, 151, false, 54, 106, 116, 14, 93
1, app/forms/ItemTotalGrossMassFormProvider.scala, 148, false, 36, 86, 146, 21, 142
3, app/forms/LiabilityAmountFormProvider.scala, 148, false, 34, 65, 104, 16, 108
2, app/models/messages/goodsitem/SensitiveGoodsInformation.scala, 147, false, 67, 259, 551, 29, 197
5, app/forms/ConsigneeForAllItemsFormProvider.scala, 146, false, 32, 36, 53, 10, 68
1, app/models/Mode.scala, 141, false, 44, 102, 244, 18, 128
5, app/viewModels/GuaranteeDetailsCheckYourAnswersViewModel.scala, 140, false, 56, 125, 299, 28, 200
4, app/filters/SessionIdFilter.scala, 137, false, 58, 206, 267, 39, 285
1, app/forms/addItems/traderDetails/TraderDetailsConsigneeNameFormProvider.scala, 136, false, 32, 44, 60, 11, 81
2, app/controllers/AccessibilityController.scala, 133, false, 47, 80, 112, 18, 135
5, app/models/reference/CountryCode.scala, 133, false, 53, 108, 316, 16, 120
3, target/scala-2.12/routes/main/app/RoutesPrefix.scala, 132, false, 37, 31, 52, 10, 76
5, app/repositories/SimpleMongoIndexConfig.scala, 126, false, 43, 125, 179, 35, 278
5, app/pages/SealIdDetailsPage.scala, 124, false, 47, 48, 224, 9, 73
2, app/models/PrincipalAddress.scala, 122, false, 72, 69, 576, 11, 90
5, app/models/MongoDateTimeFormats.scala, 122, false, 39, 89, 134, 16, 131
6, app/models/messages/package.scala, 122, false, 33, 36, 43, 6, 49
2, app/queries/SealsQuery.scala, 121, false, 39, 35, 157, 7, 58
7, app/pages/ProcedureTypePage.scala, 118, false, 38, 73, 132, 15, 127
5, app/forms/NationalityAtDepartureFormProvider.scala, 117, false, 40, 95, 110, 14, 120
5, app/pages/addItems/traderDetails/TraderDetailsConsignorNamePage.scala, 117, false, 47, 55, 238, 9, 77
6, app/forms/ConsignorEoriFormProvider.scala, 117, false, 39, 69, 108, 18, 154
2, app/navigation/Navigator.scala, 112, false, 41, 144, 132, 26, 232
7, app/forms/ControlResultDateLimitFormProvider.scala, 112, false, 38, 86, 117, 22, 196
0, app/models/journeyDomain/UserAnswersParser.scala, 109, false, 62, 154, 122, 19, 174
7, app/models/Sections.scala, 109, false, 41, 23, 199, 2, 18
7, app/pages/CountryOfDispatchPage.scala, 108, false, 32, 33, 90, 7, 65
4, app/pages/ChangeAtBorderPage.scala, 107, false, 39, 97, 164, 18, 168
0, app/forms/HowManyPackagesFormProvider.scala, 106, false, 32, 45, 65, 11, 104
0, app/models/Index.scala, 106, false, 53, 119, 315, 16, 151
4, app/forms/movementDetails/PreLodgeDeclarationFormProvider.scala, 105, false, 32, 37, 54, 10, 95
4, app/models/OfficeOfTransitList.scala, 103, false, 45, 45, 220, 6, 58
5, app/models/Status.scala, 103, false, 39, 84, 287, 13, 126
1, app/forms/ConsignorNameFormProvider.scala, 102, false, 37, 62, 95, 18, 176
1, app/pages/addItems/AddItemsSameConsignorForAllItemsPage.scala, 102, false, 47, 51, 231, 9, 88
4, app/forms/CountryOfDispatchFormProvider.scala, 102, false, 40, 95, 110, 14, 137
1, app/pages/ItemTotalGrossMassPage.scala, 101, false, 46, 48, 227, 8, 79
4, app/pages/NationalityCrossingBorderPage.scala, 101, false, 32, 33, 90, 7, 69
